Sound Lvl ch.0 (V),Sound Lvl ch.1 (V)
-1.061307e+00,-1.038076e+00
-1.055669e+00,-1.035614e+00
-1.053693e+00,-1.033314e+00
-1.054146e+00,-1.032471e+00
-1.058682e+00,-1.033767e+00
-1.063186e+00,-1.039437e+00
-1.059654e+00,-1.037882e+00
-1.058229e+00,-1.036424e+00
-1.054665e+00,-1.034286e+00
-1.052462e+00,-1.031823e+00
-1.057937e+00,-1.034901e+00
-1.059233e+00,-1.035452e+00
-1.060043e+00,-1.036424e+00
-1.062570e+00,-1.038044e+00
-1.062052e+00,-1.039794e+00
-1.059006e+00,-1.038336e+00
-1.056738e+00,-1.037040e+00
-1.056090e+00,-1.034707e+00
-1.058520e+00,-1.035517e+00
-1.060788e+00,-1.036780e+00
-1.057386e+00,-1.036359e+00
-1.056933e+00,-1.036197e+00
-1.059363e+00,-1.036521e+00
-1.055734e+00,-1.035258e+00
-1.058650e+00,-1.035970e+00
-1.060367e+00,-1.037461e+00
-1.057030e+00,-1.035744e+00
-1.058715e+00,-1.036165e+00
-1.059136e+00,-1.036683e+00
-1.058067e+00,-1.036359e+00
-1.054568e+00,-1.034221e+00
-1.057030e+00,-1.034124e+00
-1.055669e+00,-1.034642e+00
-1.054665e+00,-1.033573e+00
-1.056836e+00,-1.034610e+00
-1.056998e+00,-1.034707e+00
-1.059201e+00,-1.035517e+00
-1.062408e+00,-1.038303e+00
-1.057451e+00,-1.036975e+00
-1.054762e+00,-1.035128e+00
-1.056026e+00,-1.033929e+00
-1.059460e+00,-1.036100e+00
-1.061112e+00,-1.037882e+00
-1.057743e+00,-1.036100e+00
-1.055993e+00,-1.035193e+00
-1.059752e+00,-1.036068e+00
-1.059784e+00,-1.037914e+00
-1.060691e+00,-1.038465e+00
-1.057840e+00,-1.035938e+00
-1.055151e+00,-1.034124e+00
-1.056674e+00,-1.033897e+00
-1.061955e+00,-1.036521e+00
-1.060173e+00,-1.037461e+00
-1.059525e+00,-1.035873e+00
-1.062635e+00,-1.037266e+00
-1.055799e+00,-1.034739e+00
-1.056090e+00,-1.034351e+00
-1.061404e+00,-1.035970e+00
-1.058099e+00,-1.035744e+00
-1.060108e+00,-1.037428e+00
-1.059719e+00,-1.036132e+00
-1.056220e+00,-1.035711e+00
-1.060529e+00,-1.038822e+00
-1.058229e+00,-1.037331e+00
-1.058650e+00,-1.037526e+00
-1.059849e+00,-1.037590e+00
-1.055475e+00,-1.035225e+00
-1.061695e+00,-1.037590e+00
-1.056706e+00,-1.034610e+00
-1.059622e+00,-1.037331e+00
-1.061177e+00,-1.037914e+00
-1.057322e+00,-1.037720e+00
-1.058326e+00,-1.036878e+00
-1.060011e+00,-1.036586e+00
-1.058520e+00,-1.037331e+00
-1.056771e+00,-1.035193e+00
-1.059330e+00,-1.035776e+00
-1.058520e+00,-1.035452e+00
-1.059525e+00,-1.036230e+00
-1.056285e+00,-1.036100e+00
-1.060691e+00,-1.037493e+00
-1.057322e+00,-1.035387e+00
-1.060140e+00,-1.037947e+00
-1.059622e+00,-1.036780e+00
-1.056188e+00,-1.034577e+00
-1.059687e+00,-1.036392e+00
-1.054600e+00,-1.034513e+00
-1.058099e+00,-1.034318e+00
-1.060756e+00,-1.036683e+00
-1.057354e+00,-1.035031e+00
-1.061145e+00,-1.036910e+00
-1.062246e+00,-1.038724e+00
-1.059460e+00,-1.037007e+00
-1.057905e+00,-1.036003e+00
-1.058456e+00,-1.035225e+00
-1.057257e+00,-1.036035e+00
-1.057516e+00,-1.035387e+00
-1.059784e+00,-1.036780e+00
-1.061501e+00,-1.037299e+00
-1.060464e+00,-1.038174e+00
-1.058002e+00,-1.035970e+00
-1.056868e+00,-1.034934e+00
-1.060788e+00,-1.036651e+00
-1.058618e+00,-1.036942e+00
-1.057030e+00,-1.035290e+00
-1.058909e+00,-1.037817e+00
-1.056155e+00,-1.036230e+00
