Sound Lvl ch.0 (V),Sound Lvl ch.1 (V)
-9.999749e-01,-9.442806e-01
-8.708638e-01,-8.769873e-01
-9.250354e-01,-9.048183e-01
-9.820581e-01,-9.285345e-01
-8.499339e-01,-8.681747e-01
-9.974802e-01,-9.358244e-01
-8.762745e-01,-8.811992e-01
-9.519916e-01,-9.141816e-01
-9.274329e-01,-9.081230e-01
-9.202727e-01,-8.990836e-01
-9.446370e-01,-9.186851e-01
-9.044619e-01,-8.881326e-01
-9.566895e-01,-9.254242e-01
-8.873875e-01,-8.801624e-01
-9.890239e-01,-9.389671e-01
-8.621160e-01,-8.732290e-01
-9.972210e-01,-9.375739e-01
-8.727754e-01,-8.866423e-01
-9.561063e-01,-9.107149e-01
-9.327788e-01,-9.152184e-01
-9.087062e-01,-8.951309e-01
-9.449285e-01,-9.114277e-01
-9.333944e-01,-9.104233e-01
-9.194951e-01,-9.022587e-01
-9.095162e-01,-8.892990e-01
-9.797578e-01,-9.332000e-01
-8.910810e-01,-8.956817e-01
-8.933813e-01,-8.755293e-01
-1.012773e+00,-9.456089e-01
-9.084146e-01,-9.127885e-01
-8.496423e-01,-8.574181e-01
-9.968646e-01,-9.253594e-01
-9.718199e-01,-9.447018e-01
-8.611441e-01,-8.800328e-01
-9.160284e-01,-8.841151e-01
-9.736343e-01,-9.254242e-01
-9.291501e-01,-9.127561e-01
-9.210503e-01,-9.033279e-01
-9.511492e-01,-9.203051e-01
-9.076370e-01,-8.988244e-01
-8.957465e-01,-8.835319e-01
-9.254566e-01,-8.916966e-01
-9.750275e-01,-9.278865e-01
-9.850388e-01,-9.483953e-01
-9.289557e-01,-9.253594e-01
-8.706370e-01,-8.823656e-01
-8.694707e-01,-8.601397e-01
-9.092570e-01,-8.738446e-01
-9.617762e-01,-9.101317e-01
-9.739583e-01,-9.340748e-01
-9.649837e-01,-9.390643e-01
-9.336536e-01,-9.244846e-01
-9.060818e-01,-9.015459e-01
-9.031659e-01,-8.895258e-01
-9.159312e-01,-8.895906e-01
-9.365695e-01,-9.037167e-01
-9.516352e-01,-9.179400e-01
-9.476825e-01,-9.216983e-01
-9.346580e-01,-9.171948e-01
-9.324224e-01,-9.137281e-01
-9.272061e-01,-9.097105e-01
-9.260398e-01,-9.071834e-01
-9.276273e-01,-9.077018e-01
-9.359216e-01,-9.123997e-01
-9.459005e-01,-9.184907e-01
-9.531904e-01,-9.232210e-01
